time_s,forward_cm,sideways_cm,forward_speed_cm_s
1.700000000000001288e+00,1.825822154319330650e+02,-1.673135466853457487e+00,1.218686556103607472e+02
1.710000000000001297e+00,1.837863524480469835e+02,-1.651468842232657552e+00,1.217370380716647844e+02
1.720000000000001306e+00,1.850126683064847555e+02,-1.628871113455786501e+00,1.228572728468871844e+02
1.730000000000001315e+00,1.862400074407989052e+02,-1.599702928365114962e+00,1.225622317329197557e+02
1.740000000000001323e+00,1.874449854155169533e+02,-1.573262908419199801e+00,1.186581806979659461e+02
1.750000000000001332e+00,1.886732253491460085e+02,-1.542160919796825125e+00,1.246708419252110929e+02
1.760000000000001341e+00,1.899067211284471455e+02,-1.508075010642191183e+00,1.231566258892508472e+02
1.770000000000001350e+00,1.911295617506320639e+02,-1.473911103391859934e+00,1.220142729158855417e+02
1.780000000000001359e+00,1.923267217771487765e+02,-1.439481124275564961e+00,1.179367042926960778e+02
1.790000000000001368e+00,1.935403844560838138e+02,-1.413306165570894501e+00,1.234097110805941924e+02
1.800000000000001377e+00,1.947473107706053099e+02,-1.386580567074124248e+00,1.187747772904637031e+02
1.810000000000001386e+00,1.959434954252394903e+02,-1.370607333019539853e+00,1.196786934609598916e+02
1.820000000000001394e+00,1.971772181464002358e+02,-1.336393888044870693e+00,1.231474763839892859e+02
1.830000000000001403e+00,1.984067905098211497e+02,-1.297614800713266181e+00,1.227478006939283688e+02
1.840000000000001412e+00,1.996346984369019140e+02,-1.252811375402298477e+00,1.227919653410044560e+02
1.850000000000001421e+00,2.008462194786941097e+02,-1.194758792483392229e+00,1.196518414776936936e+02
1.860000000000001430e+00,2.020547635303711047e+02,-1.154184867588847307e+00,1.187136673216284919e+02
1.870000000000001439e+00,2.032751655565188003e+02,-1.105924196295633655e+00,1.239258446696721307e+02
1.880000000000001448e+00,2.044901732884219427e+02,-1.061435675787746780e+00,1.225003165820004511e+02
1.890000000000001457e+00,2.057156850134793729e+02,-1.020794794203796263e+00,1.221429455553588070e+02
1.900000000000001243e+00,2.069368219556346844e+02,-9.855460890348620717e-01,1.219934064578919788e+02
1.910000000000000142e+00,2.081603891090597642e+02,-9.544089593339787347e-01,1.224029040896689366e+02
1.919999999999999041e+00,2.093741229090945808e+02,-9.299531673043676117e-01,1.220789101502414411e+02
1.929999999999997939e+00,2.105831163143108711e+02,-9.006351568183801337e-01,1.213933029807049451e+02
1.939999999999996838e+00,2.117727039776217453e+02,-8.752830781262925797e-01,1.170940971522648368e+02
1.949999999999995737e+00,2.129835190353604730e+02,-8.533701314121370229e-01,1.235188551372679058e+02
1.959999999999994635e+00,2.141982360749103407e+02,-8.338420154291463771e-01,1.202736262946831403e+02
1.969999999999993534e+00,2.154376550689904946e+02,-8.159536808975005329e-01,1.242767232706207778e+02
1.979999999999992433e+00,2.166785319637566545e+02,-7.982034975503633500e-01,1.238167630898250735e+02
1.989999999999991331e+00,2.178948563740955251e+02,-7.887635718717734834e-01,1.198112190450303416e+02
1.999999999999990230e+00,2.191275798346427166e+02,-7.770164058256219253e-01,1.249694651880998890e+02
2.009999999999989129e+00,2.203683239650279404e+02,-7.691097441060290585e-01,1.238052585888061401e+02
2.019999999999988027e+00,2.216054508281502535e+02,-7.617542140339146339e-01,1.235445610407197847e+02
2.029999999999986926e+00,2.228384639885953789e+02,-7.454610044515405098e-01,1.234059234572834782e+02
2.039999999999985825e+00,2.240679330956592423e+02,-7.224801791136896689e-01,1.226810307509822167e+02
2.049999999999984723e+00,2.252694321029838989e+02,-6.911021798262592108e-01,1.182064872772176471e+02
2.059999999999983622e+00,2.264909484412408744e+02,-6.606730751340790242e-01,1.242025668932509603e+02
2.069999999999982521e+00,2.276995168720733318e+02,-6.283210870131603620e-01,1.187772611546213284e+02
2.079999999999981419e+00,2.289307186541543899e+02,-6.004826486246801487e-01,1.226809511639712582e+02
2.089999999999980318e+00,2.301531095697173157e+02,-5.749118082268996899e-01,1.220846607461742366e+02
2.099999999999979217e+00,2.313722866790273258e+02,-5.539673239310124453e-01,1.217209182932954974e+02
2.109999999999978115e+00,2.325552985988931880e+02,-5.336752313907680012e-01,1.179096793434986097e+02
2.119999999999977014e+00,2.337747017378832766e+02,-5.163765918781891839e-01,1.236007262773300681e+02
2.129999999999975913e+00,2.349903996563706983e+02,-4.975776735669964479e-01,1.221780534060117560e+02
2.139999999999974811e+00,2.362082638316369980e+02,-4.762078190072432937e-01,1.215043350697310132e+02
2.149999999999973710e+00,2.374255697322836625e+02,-4.561748982730867152e-01,1.217730527944314076e+02
2.159999999999972609e+00,2.386396332421122963e+02,-4.422271650307928459e-01,1.212838533910157679e+02
2.169999999999971507e+00,2.398313455008023141e+02,-4.312145031253197813e-01,1.171526487823703349e+02
2.179999999999970406e+00,2.410462883017924582e+02,-4.254038728723860685e-01,1.235897615272638603e+02
2.189999999999969305e+00,2.422575224600167587e+02,-4.155219431893986681e-01,1.221215853870646839e+02
2.199999999999968203e+00,2.434614507898427576e+02,-4.109590676797175157e-01,1.212224456680786489e+02
2.209999999999967102e+00,2.446657255130852491e+02,-3.950440443753608921e-01,1.208052360223152704e+02
2.219999999999966001e+00,2.458679135020652495e+02,-3.815241927916299125e-01,1.198403530441611906e+02
2.229999999999964899e+00,2.470644436651122362e+02,-3.697793937067764269e-01,1.194669495215212152e+02
2.239999999999963798e+00,2.482370425665209837e+02,-3.654366148597388286e-01,1.154552575866327544e+02
