time_s,phase,heading_x,heading_y,x_cm,y_cm,vx_cm_s,vy_cm_s
7.259999999999999787e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.653017391191560819e+02,-3.787967569510136627e+02,-1.109109401593354960e+01,-1.215031862294941192e+02
7.270000000000000462e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.651940889862327708e+02,-3.799861339163388152e+02,-1.048401866755320810e+01,-1.170686104058880801e+02
7.280000000000000249e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.650931615074409251e+02,-3.811943432078867886e+02,-9.808142322699470839e+00,-1.229905175718168522e+02
7.290000000000000036e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.649884340216411829e+02,-3.823817692809711275e+02,-1.103204232571917132e+01,-1.185689989719957254e+02
7.299999999999999822e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.648971174793362593e+02,-3.836048168519232036e+02,-8.408896259356771097e+00,-1.238699403296790820e+02
7.310000000000000497e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.647979041701062215e+02,-3.848184010408286895e+02,-9.370263667642619865e+00,-1.223401586323395378e+02
7.320000000000000284e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.647053429527445019e+02,-3.860421377179894193e+02,-9.387280007750298694e+00,-1.220780370674002171e+02
7.330000000000000071e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.646127040889963951e+02,-3.872673200742908648e+02,-9.264902599788671367e+00,-1.227176856092349766e+02
7.339999999999999858e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.645206790486200816e+02,-3.884997419238787870e+02,-9.176809563639386269e+00,-1.232471977031951411e+02
7.350000000000000533e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.644343280006326040e+02,-3.897130979964654784e+02,-9.052085469178779320e+00,-1.227079703650697979e+02
7.360000000000000320e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.643380604270719232e+02,-3.909169541623614350e+02,-9.968016771857744374e+00,-1.183738353845069184e+02
7.370000000000000107e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.642476989879916118e+02,-3.921347818132772431e+02,-8.715455113211383775e+00,-1.236869805497712349e+02
7.379999999999999893e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.641527708303320878e+02,-3.933402453826558940e+02,-9.912845193440018576e+00,-1.184961420501357452e+02
7.390000000000000568e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.640622700502752878e+02,-3.945572403957010579e+02,-8.990537188848286121e+00,-1.234325218976999139e+02
7.400000000000000355e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.639525527625404493e+02,-3.957598631885842906e+02,-1.217129606037598322e+01,-1.187537553545141833e+02
7.410000000000000142e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.638577743464117589e+02,-3.969856256930103200e+02,-9.503156162694320841e+00,-1.230306194784222669e+02
7.419999999999999929e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.637585216971716591e+02,-3.982164527947243755e+02,-1.006115642267956467e+01,-1.226625322774264504e+02
7.429999999999999716e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.636618822892736489e+02,-3.994143849970155316e+02,-9.546051964922408928e+00,-1.176578454266502831e+02
7.440000000000000391e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.635560295181276729e+02,-4.006346574790172781e+02,-1.074584923529207536e+01,-1.216553664288929895e+02
7.450000000000000178e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.634488946300450607e+02,-4.018468846691870908e+02,-1.098925887685646785e+01,-1.209929967101085850e+02
7.459999999999999964e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.633330623133010704e+02,-4.030348545268126941e+02,-1.222304591877338353e+01,-1.170390964378018595e+02
