time_s,x_m,y_m,z_m,vx_m_s,deck_clearance_cm
1.3,0.8875537165672857,-0.007180216048435349,0.4143131672021933,0.36296211543304374,1.4313167202193307
1.31,0.8914208434459481,0.00027417818424986225,0.41709605297387065,0.3959641650176599,1.709605297387065
1.32,0.8946456279189946,0.007733952881427076,0.4189919125754438,0.3105584526396016,1.8991912575443832
1.33,0.8973933129494656,0.01444918390332493,0.4198627747232558,0.2533481471644678,1.986277472325579
1.34,0.8999368515885179,0.019481338420114666,0.4197966311246092,0.2573944811007506,1.9796631124609192
1.35,0.9018519767544432,0.023102703255376066,0.41922678570826083,0.152106327371824,1.9226785708260836
1.36,0.9034064810274733,0.025063759924608058,0.418241837311096,0.16721014006783444,1.8241837311095992
1.37,0.9045454075555857,0.025878773163200065,0.4175065556127029,0.11514242031597188,1.7506555612702894
1.3800000000000001,0.9056434284674754,0.025485967210883996,0.41709298667307637,0.1077829247618525,1.7092986673076376
1.3900000000000001,0.9067261350733735,0.024213433205539637,0.41716342219061037,0.10780812147772997,1.7163422190610373
1.4000000000000001,0.9078475096260583,0.022352481658946814,0.41783831387451326,0.1125943915602517,1.7838313874513263
1.41,0.9090506402557677,0.020182863211773528,0.41918388229082904,0.12184189533908146,1.918388229082904
1.42,0.9103677941864292,0.017978353842586853,0.4211747796844101,0.13406317559305153,2.1174779684410088
1.43,0.9115019301792588,0.01562380575710586,0.42389488207402476,0.09509934183884661,2.3894882074024766
1.44,0.9131236578327215,0.013853429801164266,0.42707677879751,0.22602053053422333,2.707677879751
1.45,0.9154971214992325,0.012585452544980804,0.43103623170794064,0.27750118471368723,3.103623170794065
1.46,0.9184645732256468,0.011909780093535691,0.43484515478721103,0.3004759186025,3.4845154787211037
1.47,0.9214603155603642,0.011226372190416757,0.43783684221653785,0.2978563621973943,3.783684221653785
1.48,0.9244493633993086,0.010534591187592757,0.43985786345995576,0.298589005142501,3.9857863459955762
1.49,0.9274404308538023,0.009889899390407604,0.44090684766467564,0.29889522428123155,4.0906847664675645
1.5,0.9304327678684048,0.009248041330254224,0.4409674952075961,0.298988870721774,4.09674952075961
1.51,0.9333758851815186,0.008673695564350667,0.44015154485560937,0.2910766873576769,4.015154485560937
1.52,0.9362597835084842,0.00818480078381935,0.43850805831213385,0.286433531933003,3.850805831213386
1.53,0.9391233673536901,0.00774139196363139,0.4360169300874205,0.28579197117222505,3.601693008742049
1.54,0.9415820625974238,0.007800970073381474,0.43291576844886354,0.21803588135486013,3.2915768448863543
1.55,0.9444202939501262,0.008094515598970264,0.42914451065456055,0.32802780561324574,2.914451065456056
1.56,0.9470433144958167,0.009531806896615584,0.425165332954596,0.21693558965689755,2.5165332954596025
1.57,0.9503151679904431,0.010488133289452172,0.42010361900602294,0.34276519075104794,2.010361900602295
1.58,0.9536671716197718,0.010842424333617177,0.41425650089798066,0.3458257536543136,1.4256500897980668
1.59,0.957276752785459,0.010879884270836006,0.40827821068562603,0.37390625224081653,0.8278210685626036
1.6,0.9613188130325985,0.010762110194948386,0.40292546067636553,0.42062394073019294,0.2925460676365538
1.61,0.9658451448441586,0.01042045031720628,0.39897331904986244,0.4710151564998042,-0.1026680950137554
1.62,0.970982500448912,0.009518512717326445,0.39688247670885024,0.5397555392242984,-0.3117523291149754
1.6300000000000001,0.9768553821918995,0.007693527967814057,0.3967668637246114,0.6120925356178991,-0.32331362753885984
1.6400000000000001,0.9832126105657225,0.004810849188802136,0.39850198430962364,0.6449415058699303,-0.14980156903763586
1.6500000000000001,0.9896599836589042,0.0010301592138620894,0.4016627496561236,0.6384960651459812,0.1662749656123591
1.6600000000000001,0.9957853020699505,-0.003349356058187929,0.40552362465821323,0.5901005017677801,0.5523624658213239
1.67,1.0012225729618272,-0.007976578523843496,0.4093695447530113,0.5089231987679227,0.93695447530113
1.68,1.0057972650222649,-0.012510811727573713,0.41278233903827594,0.43149211174353713,1.2782339038275943
1.69,1.0097591335408413,-0.01662867135415554,0.415963110402782,0.36973489822639466,1.5963110402782004
1.7,1.0130008686292027,-0.02004926211121424,0.4185968083930263,0.2927379488874136,1.8596808393026327
1.71,1.015449889830396,-0.022579314584213063,0.42039681202248674,0.21323238513701642,2.039681202248675
1.72,1.0170463569354473,-0.024263513769752724,0.4212098971935923,0.12530707523268136,2.1209897193592315
1.73,1.0177797088099991,-0.025245662972280244,0.42109708517207967,0.04108371687524721,2.109708517207967
1.74,1.01776816008925,-0.02566156632395266,0.4203622624197916,-0.026113319295306497,2.036226241979158
