step,time_s,ball_x,ball_y,radius_m,core_z_m,distance_to_edge_m,speed_mps,v_radial_mps,sub_skill,action_name,is_boundary_active
1630,16.3,-0.9376,-1.0758,1.427,0.1876,0.573,0.0632,-0.0279,curve,boundary_arc_away,1
1640,16.4,-0.9488,-1.0753,1.434,0.1851,0.566,0.1119,-0.0246,turn,boundary_turn_inward,1
1650,16.5,-0.9538,-1.0651,1.4298,0.1869,0.5702,0.2877,-0.2523,turn,roam_pivot_turn,0
1660,16.6,-0.946,-1.0526,1.4152,0.1881,0.5848,0.2312,-0.2135,turn,roam_pivot_turn,0
1670,16.7,-0.9271,-1.0486,1.3996,0.1901,0.6004,0.2242,-0.1763,stop,roam_stance_pause,0
1680,16.8,-0.9092,-1.0483,1.3876,0.1925,0.6124,0.2305,-0.1777,stop,roam_stance_pause,0
1690,16.9,-0.8978,-1.054,1.3846,0.1906,0.6154,0.2078,-0.0869,stop,roam_stance_pause,0
1700,17.0,-0.8897,-1.0613,1.3849,0.1873,0.6151,0.227,-0.1134,curve,roam_curve_right,0
1710,17.1,-0.8768,-1.0697,1.3832,0.1878,0.6168,0.249,-0.1302,curve,roam_curve_right,0
1720,17.2,-0.8615,-1.078,1.3799,0.1884,0.6201,0.3882,-0.3108,curve,roam_curve_right,0
1730,17.3,-0.8451,-1.0868,1.3767,0.1855,0.6233,0.2451,-0.1133,curve,roam_curve_right,0
1740,17.4,-0.8266,-1.0936,1.3708,0.1867,0.6292,0.3002,-0.239,curve,roam_curve_right,0
1750,17.5,-0.8085,-1.0984,1.3639,0.1847,0.6361,0.2897,-0.1314,curve,roam_curve_right,0
1760,17.6,-0.7889,-1.0999,1.3536,0.1867,0.6464,0.2346,-0.1499,curve,roam_curve_right,0
1770,17.7,-0.7677,-1.1012,1.3424,0.1852,0.6576,0.2374,-0.1596,curve,roam_curve_right,0
1780,17.8,-0.7462,-1.102,1.3309,0.1841,0.6691,0.2189,-0.1397,curve,roam_curve_right,0
1790,17.9,-0.7244,-1.102,1.3187,0.1842,0.6813,0.245,-0.1392,curve,roam_curve_right,0
1800,18.0,-0.6975,-1.0997,1.3022,0.1825,0.6978,0.2784,-0.1653,curve,roam_curve_right,0
