time_s,step,sub_skill,x_m,y_m,z_m,vx_m_s,vy_m_s,speed_m_s,cross_track_error_cm,curvature_1_m,heading_err_deg,dist_to_goal_m
4.41,441,turn,5.486726005364756,-0.3236567065188188,0.1807152432497286,1.252472777060678,-0.9522749580831107,1.573377149023805,4.460933958391826,0.9286738882060798,51.93561468255364,2.3358063105433944
4.42,442,turn,5.499095372072293,-0.33315100545219095,0.1817052674508883,1.229070866944587,-0.9490881995204379,1.5528630353127943,4.220869840753309,0.7709652286751001,55.65245699029802,2.3248984014314353
4.43,443,turn,5.5115930752223585,-0.34253249268183517,0.18267055555711348,1.2572667870689358,-0.9365861039393203,1.5677733586073213,3.3224925296805643,0.7709652286751001,55.53830402961612,2.3139005239791737
4.44,444,turn,5.52411575441617,-0.35179521796614194,0.1836863653799754,1.2506763900447455,-0.921331722787833,1.5533974301609208,2.4360640913760894,0.7709652286751001,56.1211457525482,2.302913338113595
4.45,445,turn,5.536719078430472,-0.3609393450471674,0.1847206550244784,1.2663737209089738,-0.9101139145574636,1.5594902175005618,1.5617432469936476,0.7709652286751001,56.34912474545123,2.2918810187522567
4.46,446,turn,5.549293757675371,-0.3700398601758803,0.18567048305101125,1.2532847316937656,-0.9123178401281337,1.5501762674330868,0.6916913478454983,0.7709652286751001,57.61497774794658,2.2809228277025
4.47,447,turn,5.561805369934991,-0.37912918502478526,0.18626503474949022,1.2480856623223338,-0.9103917028294288,1.544840080097369,0.17744043274680393,0.7709652286751001,58.60474361985965,2.270078191338997
4.48,448,turn,5.574248868049419,-0.38821409643388705,0.1868434205624052,1.2433148139015668,-0.9072981839710571,1.5391626688249251,1.0463453176469395,0.7709652286751001,59.56719929294417,2.259353698539913
4.49,449,turn,5.586696689209562,-0.3972552681398039,0.1873347762177249,1.2471594047686017,-0.9030455260388763,1.5397719970832058,1.3110390334768531,0.49690332111992175,61.20429290498766,2.2486716385299537
4.5,450,turn,5.5994236450001775,-0.405982604519343,0.18791785591679502,1.2782661086126053,-0.8704786497216258,1.5465113397737495,2.3205974530165903,0.49690332111992175,60.42348542025816,2.2377128968681195
4.51,451,turn,5.612278521872275,-0.4145918787334295,0.1884824989587618,1.2908248673993994,-0.858340719444902,1.5501540661991855,3.319853936125092,0.49690332111992175,60.67608373952734,2.2266594994122078
4.5200000000000005,452,turn,5.625169417885093,-0.42316008950712075,0.18881815416630315,1.2873200096680177,-0.8579298203012631,1.5470088506061699,4.315432543493778,0.49690332111992175,61.634195104708624,2.2156157951878757
4.53,453,turn,5.638004072159976,-0.4317376019424125,0.1888502552826244,1.2817165105877857,-0.8584529428324369,1.542640161726318,5.311306659905467,0.49690332111992175,62.678949186902365,2.2046824201376176
4.54,454,turn,5.650613657175908,-0.44052160614265656,0.18868631435200084,1.2469052451394231,-0.894601933267092,1.5346287203624933,6.3251840367260534,0.49690332111992175,65.45693063896864,2.1940651212129247
4.55,455,turn,5.663338226244286,-0.4492215400368903,0.18813059346647446,1.2892852361825864,-0.8537066324767091,1.546308971251577,7.3319927040666215,0.49690332111992175,64.25656826023003,2.1833745309803922
4.5600000000000005,456,turn,5.676066209837146,-0.4578668319337775,0.18743196105520996,1.2672207024388145,-0.8735977091062477,1.5391625209980935,8.333409609791085,0.49690332111992175,66.28589259874174,2.1727258434963894
4.57,457,turn,5.689088867910957,-0.4662064439024463,0.18668613163783657,1.3107825672484468,-0.8222773943503007,1.5473496863546872,8.57383169037415,-0.28354753470424227,62.6597501633662,2.1617805302949553
4.58,458,turn,5.70267982227232,-0.47366403267889484,0.18697307921185174,1.3886000987614986,-0.7057052411846287,1.5576360684434278,9.629386590210078,-0.28354753470424227,58.33946989246163,2.1501419357385436
4.59,459,turn,5.717066300005118,-0.4800019880465712,0.18897348339493647,1.4753743973790288,-0.5948923728641423,1.5907943134589908,10.595838966629133,-0.28354753470424227,54.18054182428505,2.137525555795583
4.6000000000000005,460,turn,5.731647106347012,-0.4858494726237838,0.19156213003641395,1.4489671807697697,-0.5902393772754624,1.5645729172635003,11.51948778339809,-0.28354753470424227,55.20208481767112,2.1246491926305264
4.61,461,turn,5.74661169096299,-0.4915219172956128,0.19366418127266857,1.4999132401396593,-0.5682651716442836,1.6039529398489716,12.43555205232031,-0.28354753470424227,54.62758120401708,2.1113971976341497
4.62,462,turn,5.761601892568585,-0.49718646396305355,0.19496278192799846,1.501856628783399,-0.5672773366368784,1.6054211005472883,13.35147713723691,-0.28354753470424227,55.42753250552751,2.0981568106114628
4.63,463,turn,5.7766251633651775,-0.5028666596133861,0.19557318647229172,1.50386303656244,-0.569614981796978,1.6081247651306083,14.269728493420402,-0.28354753470424227,56.35785478548594,2.0849271878734763
4.64,464,turn,5.791671434877431,-0.5085646037915972,0.19546404143601137,1.5063565291700276,-0.5708291735437809,1.6108866932040404,15.190263409869619,-0.28354753470424227,57.2646552093292,2.0717196595663148
4.65,465,turn,5.806749574631722,-0.5142238935229086,0.19463946645325172,1.510360046319721,-0.564320517840448,1.6123415011636404,16.107829846471525,-0.28354753470424227,57.913488587086796,2.0585126259669657
4.66,466,turn,5.821893337985192,-0.5197778388294018,0.19322329345694406,1.5185344952514144,-0.5517801955120822,1.615675833027102,16.349601509397242,-0.4242513589109267,54.386582234872115,2.0452568842649996
4.67,467,turn,5.837031702656227,-0.5253448959426394,0.19110578683823692,1.5164350428871642,-0.5566114126534835,1.6153611063760023,17.41049074959777,-0.4242513589109267,55.400659283764625,2.0320513145299035
4.68,468,turn,5.852227451904462,-0.5307022848329376,0.1888584993020725,1.5262056939726523,-0.5180376262251529,1.6117278934421704,18.453847948077275,-0.4242513589109267,54.82930932311541,2.0187777384491294
4.69,469,turn,5.867634439104172,-0.5354028060795238,0.1871335855378864,1.553297497978414,-0.43961503436165367,1.614309293680365,19.44340327312189,-0.4242513589109267,52.710517440142844,2.0051667169672136
4.7,470,turn,5.883365997711344,-0.5391931178586788,0.18637307413999074,1.590721771455751,-0.3399165035306992,1.6266342500869269,20.35954487995398,-0.4242513589109267,49.7810963111594,1.9910338641552734
4.71,471,turn,5.899315697051839,-0.5421867389095149,0.18673938650913852,1.5991063246268045,-0.2840722930028975,1.6241422675102606,21.209072094851575,-0.4242513589109267,48.590355347192435,1.9765039854188073
4.72,472,turn,5.915575924923224,-0.5446616831307147,0.18737046846369013,1.64273400302999,-0.2272911416360404,1.658383631062834,22.021252103958755,-0.4242513589109267,47.1987781633847,1.9615583505597074
4.73,473,turn,5.93195053127733,-0.5468904195384913,0.18773200025008127,1.6411298022752303,-0.21498881764972705,1.6551517210305418,22.814523911357245,-0.4242513589109267,47.60177253126842,1.946457978272943
4.74,474,turn,5.948406404570704,-0.548893142818028,0.18796687400495807,1.6508427059649289,-0.19160274609474642,1.661924562712958,23.589590484782175,-0.4242513589109267,47.589661071289164,1.9312387815064136
4.75,475,turn,5.9649831235591915,-0.5506549281628371,0.18821764856976034,1.6623278263453822,-0.1678194756370578,1.6707774174453223,23.753669154844758,-0.5460826523243248,43.12551289042109,1.9158571154279809
4.76,476,turn,5.981572239602796,-0.5524487699326543,0.1879500029167353,1.6595901187620716,-0.17647751111232324,1.6689468757935668,24.65439437346023,-0.5460826523243248,44.166104859567035,1.9004946347881309
4.7700000000000005,477,turn,5.9981586452045805,-0.5541498823164621,0.18740210673100074,1.6589115346302474,-0.1677804102766064,1.6673745067626136,25.54669994094957,-0.5460826523243248,44.62190277646245,1.885129981531859
4.78,478,turn,6.014747480854159,-0.5557847451210003,0.18674017915746416,1.6608033717216344,-0.16105638609630768,1.6685943182884067,26.43318500121587,-0.5460826523243248,45.153318242404445,1.8697657396170284
4.79,479,turn,6.031298444173521,-0.5574621764873939,0.18617853869093506,1.6537062909339728,-0.19112678533351998,1.6647143733224996,27.321789868143863,-0.5460826523243248,46.99622474324798,1.8544729565305627
4.8,480,turn,6.047992009976687,-0.5589540544216902,0.18568868947533576,1.683391674814282,-0.12103806372066664,1.6877374629080442,28.20015159413898,-0.5460826523243248,45.32357259872036,1.8390112290026999
4.8100000000000005,481,turn,6.064765817494638,-0.5602198459874521,0.18508285229373636,1.6801795753237818,-0.11563391624158181,1.6841539739348563,29.061860262711264,-0.5460826523243248,45.97003068771674,1.8234266110574902
4.82,482,turn,6.081528918367153,-0.5613333088880725,0.18435173456378806,1.67530278409947,-0.11002844035293412,1.6789120513290547,29.90945872684916,-0.5460826523243248,46.627487099081044,1.8078270375288479
4.83,483,turn,6.098285567711481,-0.5623657263284926,0.18384501535465214,1.6781870151709433,-0.09924895634176398,1.6811192739431933,30.749516256957953,-0.5460826523243248,47.11059679885014,1.7922298592425538
4.84,484,turn,6.115125832363981,-0.5632303552922432,0.18377072351441429,1.687373077662597,-0.08061884160830463,1.6892978721477185,31.083957250277873,-0.6470869480950474,42.310472641669,1.776521893087253
