time_s,step,contact_number,phase,x_m,y_m,z_m,vx_m_s,vy_m_s,gap_to_wall_cm
3.99,399,2,approach,4.0032753960695935,1.1016933890631344,0.1965915527103656,1.3300679105891062,0.2160167929809828,140.16933890631344
4.0,400,2,approach,4.0166531406268176,1.1036776729607045,0.19651180487752032,1.347280812263297,0.19057841838732212,140.36776729607047
4.01,401,2,approach,4.030047583469345,1.1056056124091265,0.19556458271433394,1.3343304154555453,0.1954278571628328,140.56056124091265
4.0200000000000005,402,2,approach,4.043540073176514,1.107356026300579,0.19411917361038356,1.3620960935345392,0.16250584793833128,140.7356026300579
4.03,403,2,approach,4.056888824086631,1.1090962327443996,0.19219328379584294,1.3389965494855527,0.1659040292172319,140.90962327443998
4.04,404,2,approach,4.070576440124216,1.1104410646786855,0.1902053426699333,1.3886022379338778,0.11725853247300315,141.04410646786854
4.05,405,2,approach,4.0843650969546506,1.111556487438747,0.18810797792747397,1.368862311695313,0.11350768696339555,141.1556487438747
4.0600000000000005,406,2,approach,4.098255885606412,1.1124713831967457,0.18604053475567445,1.40365616383376,0.07820929030965285,141.24713831967458
4.07,407,2,approach,4.112145889959279,1.1131196979500433,0.18422024788494112,1.3789587803913228,0.057296668950821666,141.31196979500433
4.08,408,2,approach,4.126207390409499,1.1132974882977993,0.18328939976550795,1.4266628097090666,-0.007589460355841373,141.32974882977993
4.09,409,2,approach,4.1403238669007285,1.1132230901604985,0.18347177276270538,1.4000521178027108,-0.0024820887089418778,141.32230901604984
4.1,410,2,approach,4.154601550925124,1.1126222476542063,0.1844436300266524,1.4473333265558468,-0.09475937829462307,141.26222476542063
4.11,411,2,approach,4.1691300594446705,1.111386996777816,0.18602139341797133,1.45251251767861,-0.13319965785070356,141.1386996777816
4.12,412,2,approach,4.183792184223191,1.1097964664528563,0.1875404391994905,1.4759809891741162,-0.15503333853431672,140.97964664528564
4.13,413,2,approach,4.198471846634315,1.107941411042595,0.1886611377827199,1.4625028026975468,-0.200669548495018,140.7941411042595
4.14,414,2,approach,4.213254886925752,1.1059526506250121,0.18931644029741646,1.4915821920434063,-0.19476392876470347,140.59526506250123
4.15,415,2,approach,4.2281241794358,1.103508552319486,0.18953072699754347,1.4681472735474406,-0.2486879440539593,140.3508552319486
4.16,416,2,approach,4.24313613880691,1.1007035373343268,0.18966798113881755,1.523769672689309,-0.2916843893325851,140.07035373343268
4.17,417,2,approach,4.257905362610902,1.0978624545399476,0.189590751119211,1.467018906328219,-0.2916921604240281,139.78624545399475
4.18,418,2,approach,4.2729914386293535,1.094630365278398,0.18947405985270332,1.5145754876308726,-0.330033132368235,139.4630365278398
4.19,419,2,approach,4.288112728107934,1.0912621914097511,0.18917001708107514,1.5097269773523923,-0.33738779787624285,139.1262191409751
4.2,420,2,approach,4.303071742532914,1.088078050353774,0.18856453636192297,1.4864948457881535,-0.3009211242012164,138.80780503537738
4.21,421,2,approach,4.318111257209675,1.0847329381110768,0.18774117524304168,1.5167133203276557,-0.3538786983799407,138.47329381110768
4.22,422,2,approach,4.33319671957808,1.0814220542732866,0.18695078464134499,1.5037248657679056,-0.3126648754022258,138.14220542732866
4.23,423,2,approach,4.348356165165411,1.0780091065613167,0.1860499215944036,1.524430570957755,-0.3597532898375681,137.80091065613166
4.24,424,2,approach,4.363445584665377,1.0745623112841074,0.18510643503593505,1.4999962596866594,-0.3335438573756221,137.45623112841074
